"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | Automobiles | Motorcycles | Acura | BMW | Cadillac | Chevrolet | Datsun/Nissan | Honda | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845C91B14C16"
"ColumnCount:",9
"RowCount:",552

"Time","Automobiles, Acura, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Cadillac, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Datsun/Nissan, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"04/1994",26,20,106,916,230,240,2,130
"05/1994",32,34,142,850,262,234,2,150
"06/1994",30,32,110,846,248,284,4,182
"07/1994",32,32,138,950,264,256,16,190
"08/1994",36,34,144,892,300,272,10,190
"09/1994",38,34,98,958,278,290,14,160
"10/1994",30,32,132,1034,270,292,6,114
"11/1994",22,20,120,894,216,288,2,46
"12/1994",38,40,124,1054,284,308,2,50
"01/1995",30,32,86,866,246,198,4,36
"02/1995",24,16,92,826,188,238,2,38
"03/1995",24,30,118,820,264,262,4,78
"04/1995",44,34,122,882,234,258,2,122
"05/1995",26,36,100,852,244,246,,162
"06/1995",38,44,100,914,262,246,6,172
"07/1995",38,34,130,878,274,266,10,210
"08/1995",30,44,98,936,236,360,6,186
"09/1995",18,20,114,972,286,284,6,150
"10/1995",40,30,134,1048,256,296,6,140
"11/1995",52,32,140,820,274,318,,46
"12/1995",36,46,186,938,294,322,2,40
"01/1996",26,36,110,710,222,252,4,44
"02/1996",34,30,88,756,274,222,6,44
"03/1996",52,24,106,804,274,244,,68
"04/1996",44,30,102,858,280,272,6,100
"05/1996",50,30,126,834,234,280,4,142
"06/1996",56,44,112,868,276,268,6,172
"07/1996",36,38,122,858,276,260,4,170
"08/1996",48,24,120,940,264,292,8,168
"09/1996",34,28,146,940,272,290,6,160
"10/1996",58,38,130,1030,270,350,10,124
"11/1996",48,40,112,946,290,348,2,46
"12/1996",40,36,120,898,246,350,,34
"01/1997",50,56,92,848,234,250,,26
"02/1997",32,20,82,714,218,262,6,50
"03/1997",48,26,116,752,242,316,8,64
"04/1997",34,32,140,804,230,272,2,74
"05/1997",50,32,146,870,270,298,2,148
"06/1997",50,22,102,830,252,324,12,168
"07/1997",38,32,124,874,282,322,4,194
"08/1997",48,34,120,966,256,334,4,170
"09/1997",26,24,88,792,246,298,6,118
"10/1997",42,42,118,962,236,306,6,112
"11/1997",30,42,118,836,238,314,,40
"12/1997",38,36,162,930,256,296,,28
"01/1998",46,42,114,754,248,260,2,18
"02/1998",44,30,98,664,196,248,2,54
"03/1998",46,26,136,716,234,244,10,68
"04/1998",54,36,106,688,228,286,2,96
"05/1998",42,34,112,792,234,286,8,152
"06/1998",32,20,112,778,236,280,4,142
"07/1998",38,44,136,824,250,318,8,202
"08/1998",42,30,128,910,264,344,12,142
"09/1998",36,36,116,828,232,342,2,164
"10/1998",56,42,100,818,262,330,6,110
"11/1998",48,40,130,720,234,366,2,58
"12/1998",58,34,120,946,238,306,6,40
"01/1999",46,30,82,644,182,284,,34
"02/1999",30,34,90,596,186,254,4,34
"03/1999",42,26,88,808,218,276,,72
"04/1999",42,28,100,700,216,244,10,118
"05/1999",52,32,102,776,234,318,2,146
"06/1999",48,24,104,780,250,266,8,152
"07/1999",32,44,118,748,202,290,4,180
"08/1999",44,44,104,830,204,338,8,176
"09/1999",56,42,146,704,230,298,4,144
"10/1999",48,50,112,816,256,356,10,120
"11/1999",50,44,120,848,264,364,2,70
"12/1999",66,50,84,858,272,386,2,34
"01/2000",35,18,44,342,90,135,1,21
"02/2000",22,16,34,294,96,147,,28
"03/2000",23,11,49,345,105,145,3,38
"04/2000",21,20,35,357,109,185,4,62
"05/2000",32,17,60,321,82,173,2,73
"06/2000",40,22,47,359,110,164,3,103
"07/2000",42,17,51,409,123,168,,105
"08/2000",29,21,62,370,126,171,4,95
"09/2000",31,17,68,369,112,157,6,71
"10/2000",40,19,66,376,101,199,2,52
"11/2000",25,22,51,364,93,179,1,17
"12/2000",30,22,50,341,101,186,3,20
"01/2001",25,17,58,306,91,148,2,25
"02/2001",25,24,46,292,110,153,,27
"03/2001",24,20,51,322,101,149,4,30
"04/2001",35,16,46,353,118,152,3,58
"05/2001",33,14,52,316,112,187,4,82
"06/2001",34,19,48,345,92,164,4,92
"07/2001",29,17,51,379,105,197,7,109
"08/2001",46,15,56,366,112,169,4,102
"09/2001",40,16,49,337,76,161,4,90
"10/2001",41,22,47,335,114,209,5,57
"11/2001",35,22,50,341,98,188,2,47
"12/2001",46,22,59,373,106,209,4,40
"01/2002",27,16,51,338,89,185,2,23
"02/2002",31,22,55,296,90,153,2,24
"03/2002",42,19,52,332,110,195,1,40
"04/2002",28,18,51,317,84,170,4,56
"05/2002",26,16,35,314,107,181,5,97
"06/2002",35,16,52,304,111,177,4,112
"07/2002",26,23,55,343,100,187,6,103
"08/2002",35,19,65,316,106,201,2,117
"09/2002",32,24,49,352,98,174,4,94
"10/2002",40,24,39,335,112,159,1,54
"11/2002",38,17,45,343,92,177,1,45
"12/2002",30,20,60,348,100,174,1,19
"01/2003",31,18,46,263,81,151,,15
"02/2003",30,7,48,253,84,155,,30
"03/2003",28,19,44,303,83,161,3,50
